date,ranking,name,country,age,points,tournamentsPlayed,playerUrl
1974-12-20,99,Clark Graebner,USA,31,0,0,https://www.atptour.com/en/players/clark-graebner/g079/overview
1974-12-20,100,Jun Kamiwazumi,JPN,27,0,0,https://www.atptour.com/en/players/jun-kamiwazumi/k002/overview
1975-12-15,1,Jimmy Connors,USA,23,0,0,https://www.atptour.com/en/players/jimmy-connors/c044/overview
1975-12-15,2,Guillermo Vilas,ARG,23,0,0,https://www.atptour.com/en/players/guillermo-vilas/v028/overview
1975-12-15,3,Bjorn Borg,SWE,19,0,0,https://www.atptour.com/en/players/bjorn-borg/b058/overview
1975-12-15,4,Arthur Ashe,USA,32,0,0,https://www.atptour.com/en/players/arthur-ashe/a063/overview
1975-12-15,5,Manuel Orantes,ESP,26,0,0,https://www.atptour.com/en/players/manuel-orantes/o017/overview
1975-12-15,6,Ken Rosewall,AUS,41,0,0,https://www.atptour.com/en/players/ken-rosewall/r075/overview
1975-12-15,7,Ilie Nastase,ROU,29,0,0,https://www.atptour.com/en/players/ilie-nastase/n008/overview
1975-12-15,8,John Alexander,AUS,24,0,0,https://www.atptour.com/en/players/john-alexander/a014/overview
1975-12-15,9,Roscoe Tanner,USA,24,0,0,https://www.atptour.com/en/players/roscoe-tanner/t006/overview
1975-12-15,10,Rod Laver,AUS,37,0,0,https://www.atptour.com/en/players/rod-laver/l058/overview
1975-12-15,11,Tom Okker,NED,31,0,0,https://www.atptour.com/en/players/tom-okker/o032/overview
1975-12-15,12,Tony Roche,AUS,30,0,0,https://www.atptour.com/en/players/tony-roche/r073/overview
1975-12-15,13,Raul Ramirez,MEX,22,0,0,https://www.atptour.com/en/players/raul-ramirez/r065/overview
1975-12-15,14,Adriano Panatta,ITA,25,0,0,https://www.atptour.com/en/players/adriano-panatta/p059/overview
1975-12-15,15,Vitas Gerulaitis,USA,21,0,0,https://www.atptour.com/en/players/vitas-gerulaitis/g008/overview
1975-12-15,16,Jaime Fillol Sr.,CHI,29,0,0,https://www.atptour.com/en/players/jaime-fillol-sr./f024/overview
1975-12-15,17,Harold Solomon,USA,23,0,0,https://www.atptour.com/en/players/harold-solomon/s065/overview
1975-12-15,18,Eddie Dibbs,USA,24,0,0,https://www.atptour.com/en/players/eddie-dibbs/d026/overview
1975-12-15,19,Jan Kodes,CZE,29,0,0,https://www.atptour.com/en/players/jan-kodes/k049/overview
1975-12-15,20,John Newcombe,AUS,31,0,0,https://www.atptour.com/en/players/john-newcombe/n044/overview
1975-12-15,21,Stan Smith,USA,29,0,0,https://www.atptour.com/en/players/stan-smith/s060/overview
1975-12-15,22,Robert Lutz,USA,28,0,0,https://www.atptour.com/en/players/robert-lutz/l045/overview
1975-12-15,23,Brian Gottfried,USA,23,0,0,https://www.atptour.com/en/players/brian-gottfried/g029/overview
1975-12-15,24,Marty Riessen,USA,34,0,0,https://www.atptour.com/en/players/marty-riessen/r055/overview
1975-12-15,25,Mark Cox,GBR,32,0,0,https://www.atptour.com/en/players/mark-cox/c090/overview
1975-12-15,26,Onny Parun,NZL,28,0,0,https://www.atptour.com/en/players/onny-parun/p070/overview
1975-12-15,27,Ross Case,AUS,24,0,0,https://www.atptour.com/en/players/ross-case/c020/overview
1975-12-15,28,Sandy Mayer,USA,23,0,0,https://www.atptour.com/en/players/sandy-mayer/m039/overview
1975-12-15,29,Vijay Amritraj,IND,22,0,0,https://www.atptour.com/en/players/vijay-amritraj/a022/overview
1975-12-15,30,Dick Stockton,USA,24,0,0,https://www.atptour.com/en/players/dick-stockton/s090/overview
1975-12-15,31,Karl Meiler,GER,26,0,0,https://www.atptour.com/en/players/karl-meiler/m055/overview
1975-12-15,32,Cliff Richey,USA,28,0,0,https://www.atptour.com/en/players/cliff-richey/r071/overview
1975-12-15,33,Phil Dent,AUS,25,0,0,https://www.atptour.com/en/players/phil-dent/d074/overview
1975-12-15,34,Bob Hewitt,RSA,35,0,0,https://www.atptour.com/en/players/bob-hewitt/h058/overview
1975-12-15,34,Buster C. Mottram,GBR,20,0,0,https://www.atptour.com/en/players/buster-c.-mottram/m154/overview
1975-12-15,36,Cliff Drysdale,RSA,34,0,0,https://www.atptour.com/en/players/cliff-drysdale/d082/overview
1975-12-15,37,Andrew Pattison,ZIM,26,0,0,https://www.atptour.com/en/players/andrew-pattison/p074/overview
1975-12-15,38,Allan Stone,AUS,30,0,0,https://www.atptour.com/en/players/allan-stone/s148/overview
1975-12-15,39,Francois Jauffret,FRA,33,0,0,https://www.atptour.com/en/players/francois-jauffret/j031/overview
1975-12-15,40,Corrado Barazzutti,ITA,22,0,0,https://www.atptour.com/en/players/corrado-barazzutti/b007/overview
1975-12-15,41,Juan Gisbert Sr,ESP,33,0,0,https://www.atptour.com/en/players/juan-gisbert-sr/g076/overview
1975-12-15,42,Ricardo Cano,ARG,24,0,0,https://www.atptour.com/en/players/ricardo-cano/c010/overview
1975-12-15,43,Patrick Proisy,FRA,26,0,0,https://www.atptour.com/en/players/patrick-proisy/p085/overview
1975-12-15,44,Geoff Masters,AUS,25,0,0,https://www.atptour.com/en/players/geoff-masters/m139/overview
1975-12-15,45,Tom Gorman,USA,29,0,0,https://www.atptour.com/en/players/tom-gorman/g078/overview
1975-12-15,46,Jose Higueras,ESP,22,0,0,https://www.atptour.com/en/players/jose-higueras/h019/overview
1975-12-15,47,Alex Metreveli,GEO,31,0,0,https://www.atptour.com/en/players/alex-metreveli/m271/overview
1975-12-15,48,Jeff Borowiak,USA,26,0,0,https://www.atptour.com/en/players/jeff-borowiak/b059/overview
1975-12-15,49,Kim Warwick,AUS,23,0,0,https://www.atptour.com/en/players/kim-warwick/w006/overview
